Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C8",C_Disc_D4.3mm_W1.9mm_P5.00mm,5,0.1u,
"C5, C9",CP_Radial_D8.0mm_P3.50mm,2,470u,
C6,CP_Radial_D5.0mm_P2.00mm,1,47u,
C7,CP_Radial_D5.0mm_P2.00mm,1,10u,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
IC1,DIP8_300mil_FineLongPad,1,TC7660S,
J1,MJ179PH,1,MJ-179PH,
J2,PinHeader_1x02_P2.54mm_Vertical_noSilk,1,PS,
JP1,PinHeader_1x03_P2.54mm_Vertical,1,Pin Header 1x3pin,
JP5,PinHeader_1x02_P2.54mm_Vertical,1,A9EN,
LED1,LED_D3.0mm,1,Yellow,
LED2,LED_D3.0mm,1,Green,
"R1, R10, R11, R12, R13, R2, R3, R4, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,13,47,
"R14, R17",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10K,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1.5k,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,750,
R18,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,5.1K,
"S0, S1",DIP_Socket-16_W4.3_W5.08_W7.62_W10.16_W10.9_3M_216-3340-00-0602J,2,ZIF Socket 16pin,
S2,DIP_Socket-18_W4.3_W5.08_W7.62_W10.16_W10.9_3M_218-3341-00-0602J,1,ZIF Socket 18pin,
S3,DIP_Socket-20_W4.3_W5.08_W7.62_W10.16_W10.9_3M_220-3342-00-0602J,1,ZIF Socket 20pin,
SW1,DTS63NV,1,DTS-63N-V,
SW2,SS12SDP2,1,SS12SDP2,
SW3,SS22SDP2,1,SS22SDP2,
U1,Arduino_Nano,1,Arduino Nano,
U2,MT3608_DCDC_Module,1,MT3608 DCDC Module,
U3,I2C_OLED_0.91in_128x32,1,I2C OLED Screen 0.91in. 128x32,
